,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,Classification,obey,reps_lower,reps_upper,average height,average weight,height variability,weight variability,repetitions variability,linear
82,82,Petit Basset Griffon Vendeen,13.0,15.0,30.0,40.0,Normal Dogs,0.4,26.0,40.0,14.0,35.0,0.0714285714285714,0.1428571428571428,0.2121212121212121,2.5
101,101,Basenji,17.0,17.0,20.0,22.0,Lowest Degree of Working/Obedience Intelligence ,0.4,81.0,100.0,17.0,21.0,0.0,0.0476190476190476,0.1049723756906077,1.2352941176470589
81,81,Nova Scotia Duck Tolling Retriever,17.0,21.0,35.0,50.0,Normal Dogs,0.4,26.0,40.0,19.0,42.5,0.1052631578947368,0.1764705882352941,0.2121212121212121,2.236842105263158
50,50,Spinone Italiano,23.0,28.0,65.0,80.0,Normal Dogs,0.4,26.0,40.0,25.5,72.5,0.0980392156862745,0.1034482758620689,0.2121212121212121,2.843137254901961
51,51,Tibetan Mastiff,24.0,26.0,140.0,170.0,Normal Dogs,0.4,26.0,40.0,25.0,155.0,0.04,0.0967741935483871,0.2121212121212121,6.2
53,53,Airdale Terrier,22.0,24.0,45.0,45.0,Normal Dogs,0.4,26.0,40.0,23.0,45.0,0.0434782608695652,0.0,0.2121212121212121,1.9565217391304348
74,74,Harrier,19.0,21.0,40.0,60.0,Normal Dogs,0.4,26.0,40.0,20.0,50.0,0.05,0.2,0.2121212121212121,2.5
84,84,Plott Hound,20.0,24.0,45.0,55.0,Normal Dogs,0.4,26.0,40.0,22.0,50.0,0.0909090909090909,0.1,0.2121212121212121,2.272727272727273
72,72,Flat Coated Retriever,22.0,23.0,60.0,70.0,Normal Dogs,0.4,26.0,40.0,22.5,65.0,0.0222222222222222,0.0769230769230769,0.2121212121212121,2.888888888888889
58,58,Basset Hound,14.0,14.0,40.0,50.0,Lowest Degree of Working/Obedience Intelligence ,0.4,81.0,100.0,14.0,45.0,0.0,0.1111111111111111,0.1049723756906077,3.2142857142857144
62,62,Bull Dog,12.0,16.0,50.0,60.0,Normal Dogs,0.4,26.0,40.0,14.0,55.0,0.1428571428571428,0.0909090909090909,0.2121212121212121,3.9285714285714284
68,68,Cocker Spaniel-English,15.0,17.0,25.0,35.0,Normal Dogs,0.4,26.0,40.0,16.0,30.0,0.0625,0.1666666666666666,0.2121212121212121,1.875
67,67,Cocker Spaniel-American,15.0,16.0,22.0,28.0,Normal Dogs,0.4,26.0,40.0,15.5,25.0,0.032258064516129,0.12,0.2121212121212121,1.6129032258064515
66,66,Chow Chow,19.0,22.0,45.0,55.0,Lowest Degree of Working/Obedience Intelligence ,0.4,81.0,100.0,20.5,50.0,0.073170731707317,0.1,0.1049723756906077,2.4390243902439024
47,47,Poodle Standard,15.0,25.0,45.0,45.0,Normal Dogs,0.4,26.0,40.0,20.0,45.0,0.25,0.0,0.2121212121212121,2.25
107,107,Brussels Griffon,7.0,8.0,6.0,12.0,Normal Dogs,0.4,26.0,40.0,7.5,9.0,0.0666666666666666,0.3333333333333333,0.2121212121212121,1.2
46,46,Old English Sheepdog (Bobtail),20.0,24.0,60.0,65.0,Normal Dogs,0.4,26.0,40.0,22.0,62.5,0.0909090909090909,0.04,0.2121212121212121,2.840909090909091
88,88,Redbone Coonhound,21.0,27.0,50.0,70.0,Normal Dogs,0.4,26.0,40.0,24.0,60.0,0.125,0.1666666666666666,0.2121212121212121,2.5
31,31,Collie (Rough) & (Smooth),22.0,26.0,50.0,75.0,Normal Dogs,0.4,26.0,40.0,24.0,62.5,0.0833333333333333,0.2,0.2121212121212121,2.6041666666666665
95,95,Sussex Spaniel,15.0,16.0,40.0,45.0,Normal Dogs,0.4,26.0,40.0,15.5,42.5,0.032258064516129,0.0588235294117647,0.2121212121212121,2.7419354838709675
26,26,Bouvier Des Flandres,23.0,27.0,75.0,95.0,Normal Dogs,0.4,26.0,40.0,25.0,85.0,0.08,0.1176470588235294,0.2121212121212121,3.4
92,92,Soft-Coated Wheaten Terrier,18.0,20.0,35.0,45.0,Normal Dogs,0.4,26.0,40.0,19.0,40.0,0.0526315789473684,0.125,0.2121212121212121,2.1052631578947367
36,36,German Shepherd Dog,22.0,26.0,75.0,90.0,Normal Dogs,0.4,26.0,40.0,24.0,82.5,0.0833333333333333,0.0909090909090909,0.2121212121212121,3.4375
99,99,American Eskimo,9.0,19.0,25.0,30.0,Normal Dogs,0.4,26.0,40.0,14.0,27.5,0.3571428571428571,0.0909090909090909,0.2121212121212121,1.9642857142857142
44,44,Komondor,26.5,35.5,80.0,135.0,Normal Dogs,0.4,26.0,40.0,31.0,107.5,0.1451612903225806,0.2558139534883721,0.2121212121212121,3.467741935483871
86,86,Polish Lowland Sheepdog,16.0,20.0,30.0,35.0,Normal Dogs,0.4,26.0,40.0,18.0,32.5,0.1111111111111111,0.0769230769230769,0.2121212121212121,1.8055555555555556
25,25,Black Russian Terrier,25.0,29.0,80.0,140.0,Normal Dogs,0.4,26.0,40.0,27.0,110.0,0.074074074074074,0.2727272727272727,0.2121212121212121,4.074074074074074
140,140,Chinese Crested,11.0,13.0,5.0,12.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,12.0,8.5,0.0833333333333333,0.4117647058823529,0.3223140495867768,0.7083333333333334
63,63,Bull Terrier,21.0,22.0,50.0,70.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,21.5,60.0,0.0232558139534883,0.1666666666666666,0.3223140495867768,2.7906976744186047
16,16,Saint Bernard,25.0,28.0,110.0,190.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,26.5,150.0,0.0566037735849056,0.2666666666666666,0.3223140495867768,5.660377358490566
143,143,Maltese,8.0,10.0,4.0,6.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,9.0,5.0,0.1111111111111111,0.2,0.3223140495867768,0.5555555555555556
142,142,Japanese Chin,8.0,11.0,4.0,11.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,9.5,7.5,0.1578947368421052,0.4666666666666667,0.3223140495867768,0.7894736842105263
141,141,Italian Greyhound,12.0,15.0,6.0,10.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,13.5,8.0,0.1111111111111111,0.25,0.3223140495867768,0.5925925925925926
7,7,Great Pyrenees,27.0,32.0,95.0,120.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,29.5,107.5,0.0847457627118644,0.1162790697674418,0.3223140495867768,3.6440677966101696
139,139,Chihuahua,6.0,9.0,2.0,5.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,7.5,3.5,0.2,0.4285714285714285,0.3223140495867768,0.4666666666666667
5,5,Bullmastiff,25.0,27.0,100.0,130.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,26.0,115.0,0.0384615384615384,0.1304347826086956,0.3223140495867768,4.423076923076923
123,123,Pug,10.0,11.0,14.0,22.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,10.5,18.0,0.0476190476190476,0.2222222222222222,0.3223140495867768,1.7142857142857142
134,134,Tibetan Terrier,14.0,17.0,20.0,30.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,15.5,25.0,0.0967741935483871,0.2,0.3223140495867768,1.6129032258064515
113,113,Dandie Dinmont Terrier,18.0,24.0,8.0,11.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,21.0,9.5,0.1428571428571428,0.1578947368421052,0.3223140495867768,0.4523809523809524
132,132,Skye Terrier,10.0,10.0,25.0,25.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,10.0,25.0,0.0,0.0,0.3223140495867768,2.5
117,117,French Bulldog,11.0,12.0,17.0,28.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,11.5,22.5,0.0434782608695652,0.2444444444444444,0.3223140495867768,1.9565217391304348
126,126,Scottish Terrier,10.0,12.0,18.0,22.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,11.0,20.0,0.0909090909090909,0.1,0.3223140495867768,1.8181818181818181
120,120,Lakeland Terrier,13.0,14.0,15.0,17.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,13.5,16.0,0.037037037037037,0.0625,0.3223140495867768,1.1851851851851851
127,127,Sealyham Terrier,12.0,12.0,18.0,20.0,Fair Working/Obedience Intelligence,0.3,41.0,80.0,12.0,19.0,0.0,0.0526315789473684,0.3223140495867768,1.5833333333333333
