,index,Breed,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs
108,108,Cairn Terrier,9.0,10.0,14.0,14.0
109,109,Cardigan Welsh Corgi,10.0,12.0,25.0,35.0
110,110,Cavalier King Charles Spaniel,10.0,15.0,15.0,20.0
111,111,Coton de Tulear,17.72,20.67,42.39,56.97
112,112,Dachshund,7.0,10.0,16.0,32.0
113,113,Dandie Dinmont Terrier,18.0,24.0,8.0,11.0
114,114,English Toy Spaniel,10.0,10.0,9.0,15.0
115,115,Fox Terrier ‰ÛÒ Smooth,13.0,16.0,15.0,20.0
116,116,Fox Terrier ‰ÛÒ Wirehair,13.0,16.0,15.0,20.0
117,117,French Bulldog,11.0,12.0,17.0,28.0
118,118,German Pinscher,16.0,19.0,25.0,35.0
119,119,Glen Imaal Terrier,14.0,14.0,34.0,36.0
120,120,Lakeland Terrier,13.0,14.0,15.0,17.0
121,121,Manchester Terrier (Standard),15.0,16.0,17.0,18.0
122,122,Poodle Miniature,10.0,15.0,20.0,20.0
123,123,Pug,10.0,11.0,14.0,22.0
124,124,Puli,16.0,17.0,29.0,33.0
125,125,Schipperke,10.0,13.0,12.0,18.0
126,126,Scottish Terrier,10.0,12.0,18.0,22.0
127,127,Sealyham Terrier,12.0,12.0,18.0,20.0
128,128,Shetland Sheepdog (Sheltie),13.0,16.0,14.0,20.0
129,129,Shiba Inu,13.0,16.0,15.0,30.0
130,130,Shih Tzu,8.0,11.0,9.0,16.0
131,131,Silky Terrier,9.0,10.0,8.0,11.0
132,132,Skye Terrier,10.0,10.0,25.0,25.0
133,133,Tibetan Spaniel,10.0,10.0,9.0,15.0
134,134,Tibetan Terrier,14.0,17.0,20.0,30.0
135,135,Welsh Terrier,15.0,15.0,20.0,21.0
136,136,West Highland White Terrier,11.0,11.0,13.0,15.0
137,137,Whippet,18.0,22.0,27.0,30.0
138,138,Affenpinscher,9.0,12.0,8.0,12.0
139,139,Chihuahua,6.0,9.0,2.0,5.0
140,140,Chinese Crested,11.0,13.0,5.0,12.0
141,141,Italian Greyhound,12.0,15.0,6.0,10.0
142,142,Japanese Chin,8.0,11.0,4.0,11.0
143,143,Maltese,8.0,10.0,4.0,6.0
144,144,Manchester Terrier (Toy),10.0,12.0,6.0,8.0
145,145,Papillon,8.0,11.0,5.0,10.0
146,146,Pomeranian,12.0,12.0,3.0,7.0
147,147,Poodle Toy,10.0,10.0,10.0,10.0
148,148,Toy Fox Terrier,10.0,10.0,4.0,7.0
149,149,Yorkshire Terrier,8.0,8.0,3.0,7.0
