Ages,Vienna,Berlin,London,Norwich,Nothampton,Breflaw,Brandenburg,Holy-Crofd,Holland,France,Vaud
55,87.7%,86.8%,88.0%,77.9%,78.9%,77.6%,66.6%,68.2%,68.2%,60.3%,61.2%
56,88.3%,87.3%,88.4%,78.7%,79.6%,78.4%,67.6%,69.0%,69.1%,61.2%,62.3%
57,88.9%,87.9%,88.9%,79.4%,80.3%,79.1%,68.6%,69.9%,70.0%,62.1%,64.6%
58,89.4%,88.5%,89.4%,80.1%,81.0%,79.9%,68.6%,70.8%,70.9%,63.1%,65.2%
59,89.9%,89.1%,89.9%,80.9%,81.7%,80.7%,69.6%,71.7%,71.8%,64.1%,66.9%
60,90.4%,89.7%,90.4%,81.6%,82.4%,81.4%,70.7%,72.7%,72.7%,68.1%,68.6%
61,90.9%,90.3%,90.8%,82.3%,83.1%,82.2%,71.8%,73.7%,73.9%,66.1%,70.1%
62,91.3%,90.8%,91.3%,83.1%,83.8%,83.0%,72.9%,74.7%,74.5%,67.1%,71.4%
63,91.8%,91.2%,91.7%,83.9%,84.5%,83.7%,74.0%,75.7%,75.5%,68.2%,72.6%
64,92.3%,91.6%,94.2%,84.7%,85.2%,84.5%,75.2%,76.7%,76.5%,69.3%,73.8%
65,92.8%,92.0%,92.6%,85.6%,85.9%,85.3%,76.4%,77.7%,77.5%,70.4%,74.1%
66,93.3%,92.5%,93.0%,86.4%,86.6%,86.0%,77.6%,78.7%,78.5%,71.5%,76.4%
67,93.8%,92.1%,93.5%,87.2%,87.3%,86.8%,78.7%,79.7%,79.5%,72.7%,78.0%
68,94.3%,93.5%,93.9%,88.1%,88.0%,87.6%,79.8%,80.7%,80.5%,74.0%,79.8%
69,94.8%,94.0%,94.4%,88.9%,88.7%,88.3%,81.0%,81.8%,81.5%,75.4%,81.9%
70,95.2%,94.5%,94.8%,89.7%,89.4%,89.1%,82.2%,82.9%,82.5%,76.8%,83.2%
71,95.6%,94.9%,95.3%,90.6%,90.1%,89.9%,83.4%,83.9%,83.5%,78.2%,84.7%
72,96.0%,95.3%,95.7%,91.4%,90.8%,90.7%,84.7%,84.9%,84.5%,80.5%,86.0%
73,96.4%,95.7%,96.1%,92.1%,91.5%,91.5%,86.2%,85.8%,85.5%,81.2%,87.1%
74,96.7%,96.1%,96.5%,92.9%,90.2%,94.3%,87.8%,86.6%,86.5%,82.7%,88.1%
